salt_100g,sugars_100g,saturated-fat_100g,fiber_100g,proteins_100g,additives_n,label
0.4,6.2,0.6,2.2,30.0,0.0,moderate
0.0,15.0,0.0,3.0,1.0,0.0,unhealthy
1.7,1.3,0.2,2.9,82.0,0.0,healthy
1.0,1.0,1.0,1.0,1.0,0.0,healthy
1.5,1.7,0.5,10.714286,76.0,1.0,healthy
0.013,35.5,26.5,12.0,1.3,3.0,unhealthy
0.48,31.0,6.0,1.4,6.4,6.0,unhealthy
0.75,2.22,5.56,20.0,26.7,0.0,healthy
0.88,1.85,6.48,18.5,37.0,6.0,unhealthy
0.0,7.9,0.0,0.0,0.0,6.0,unhealthy
2.68,25.0,1.79,0.0,35.7,1.0,unhealthy
0.075,0.0,60.0,0.0,0.0,0.0,unhealthy
0.8,0.2,0.2,0.1,0.3,0.0,healthy
1.14,0.0,0.0,0.0,84.5,0.0,healthy
1.13,29.0,17.0,1.1,6.7,2.0,unhealthy
0.125,4.05,3.0,1.95,22.0,4.0,unhealthy
0.733,6.9,3.45,3.45,82.8,4.0,unhealthy
0.05,59.0,0.05,2.0,0.5,1.0,unhealthy
0.0,0.0,0.0,0.0,0.0,1.0,unhealthy
1.3700565,3.5593224,7.3446326,1.1299435,9.60452,0.0,moderate
0.05,0.1,0.0,81.9,5.8,1.0,healthy
0.1,0.6,0.1,62.5,26.0,7.0,unhealthy
0.0,23.0,13.5,1.0,3.29999995231628,0.0,unhealthy
50.0,0.0,8.33,3.33,26.7,0.0,unhealthy
0.443,18.49,2.95,0.0,2.29,0.0,unhealthy
0.63,31.0,2.0,1.0,5.0,9.0,unhealthy
0.3,17.95,4.03,1.9,18.53,0.0,unhealthy
1.25,0.0,0.0,0.0,90.0,0.0,moderate
12.0,17.95,1.67,1.9,2.0,0.0,unhealthy
0.614,19.77,2.95,1.28999996185303,16.7,1.0,unhealthy
0.0,51.5,2.5,1.9,7.7,0.0,unhealthy
1.9,9.4,2.0,20.0,39.0,8.0,moderate
0.25,0.0,70.0,20.0,0.0,1.0,moderate
0.21739131,15.000001,2.5,1.0869565,5.76087,2.0,unhealthy
2.0,0.8,1.0,3.2,5.4,0.0,healthy
0.885,0.62,3.99,1.07,11.37,0.0,healthy
1.9,7.4,1.7,4.5,69.0,5.0,unhealthy
0.01,8.31,6.6,3.6,14.2,0.0,moderate
3.2,1.1,1.0,1.2,86.0,0.0,healthy
0.98,3.4,0.3,4.9,9.2,3.0,unhealthy
0.63,32.0,5.0,2.5,5.8,8.0,unhealthy
0.7,32.0,4.0,2.2,5.8,2.0,unhealthy
0.7,37.0,5.0,1.0,5.3,8.0,unhealthy
1.12,23.3,0.0,0.0,73.3,1.0,unhealthy
1.7,28.0,2.0,8.0,28.0,5.0,unhealthy
0.11,31.0,5.2,1.0,28.0,3.0,unhealthy
0.0,11.6,0.0,0.0,0.0,1.0,unhealthy
0.754,6.35,3.17,0.0,76.2,6.0,unhealthy
1.4,1.6,0.1,1.0,1.0,0.0,healthy
11.0,29.58,13.41,4.49,7.55,4.0,unhealthy
0.52,1.1,4.5,5.2,8.3,7.0,unhealthy
0.0,7.41,2.78,22.2,22.2,0.0,moderate
0.1,59.4,1.0,6.0,7.0,0.0,unhealthy
0.00692712675,0.055417012,0.027708506,0.027708506,0.66500413,2.0,unhealthy
0.01,49.0,1.1,1.9,4.8,2.0,unhealthy
0.242,9.68,1.61,16.1,87.1,0.0,moderate
0.64,0.97,0.14,1.15,12.7,0.0,healthy
0.374999975,30.0,0.0,10.0,20.0,3.0,unhealthy
0.01,0.9,0.6,14.2,13.0,0.0,healthy
0.41,48.0,1.0,1.2,7.0,3.0,unhealthy
775.0,5.0,0.0,6.0,4.6,0.0,unhealthy
0.86,1.0,1.4,0.0,60.0,0.0,moderate
0.0,0.0,0.0,0.0,81.5,0.0,moderate
0.5087,8.62,0.54,6.34,8.78,2.0,unhealthy
0.117,66.7,0.0,6.67,6.67,0.0,unhealthy
0.0,5.5,7.3,0.0,0.0,1.0,unhealthy
0.0,54.0,0.0,5.0,7.1,0.0,unhealthy
4.75,29.6,8.2,1.2,5.2,1.0,unhealthy
1.25,2.4,1.1,5.8,17.0,0.0,healthy
0.0,12.4,0.0,0.0,0.0,7.0,unhealthy
0.254,0.0,0.0,10.0,5.0,0.0,healthy
0.1,0.0,0.0,0.0,0.0,3.0,unhealthy
1.5725,16.0,3.2,0.9,6.6,1.0,unhealthy
0.12,48.0,16.0,3.5,6.0,2.0,unhealthy
0.12323943661972,0.0,8.4507042253521,0.0,18.30985915493,0.0,moderate
0.487,18.6,3.05,13.6,40.7,7.0,unhealthy
12.7,0.0,76.4,0.0,0.0,4.0,unhealthy
1.34,0.0,10.71,0.0,0.0,5.0,unhealthy
0.8,3.0,0.1,0.9,1.4,2.0,unhealthy
0.71,1.5,0.5,0.8,0.7,0.0,moderate
0.76,2.52,0.72,0.92,0.8,1.0,unhealthy
0.86,0.5,0.1,0.7,0.6,1.0,unhealthy
0.7,1.7,0.2,0.8,0.7,1.0,unhealthy
0.68,0.7,0.4,1.0,0.8,0.0,healthy
